id	province
0	山东省
1	江苏省
2	山西省
3	云南省
4	西藏自治区
5	上海市
6	四川省
7	重庆市
8	安徽省
9	江西省
10	黑龙江省
11	浙江省
12	天津市
13	陕西省
14	宁夏回族自治区
15	湖北省
16	甘肃省
17	青海省
18	广西壮族自治区
19	辽宁省
20	台湾省
21	湖南省
22	吉林省
23	贵州省
24	广东省
25	新疆维吾尔自治区
26	福建省
27	河南省
28	海南省
29	河北省
30	北京市
31	内蒙古自治区
